J_kSalt_15K_v8_w,eps1,eps2
5.47,-826.7322842,13422.75538
5.48,-826.1223969,13397.61622
5.49,-825.5142209,13372.56604
5.5,-824.9077574,13347.60465
5.51,-824.3198438,13322.7477
5.52,-823.7009827,13297.98016
5.53,-823.0996644,13273.28402
5.54,-822.5010734,13248.70853
5.55,-821.9031912,13224.18831
5.56,-821.3080392,13199.78831
5.57,-820.6978624,13175.46003
5.58,-820.1218896,13151.21806
5.59,-819.5319051,13127.07994
5.6,-818.9269437,13103.01305
5.61,-818.3561006,13079.03193
5.62,-817.754622,13055.13841
5.63,-817.170547,13031.31466
5.64,-816.5892135,13007.60946
5.65,-816.0085986,12983.95806
5.66,-815.4141138,12960.40919
5.67,-814.8535779,12936.94502
5.68,-814.2625896,12913.56741
5.69,-813.6889236,12890.2586
5.7,-813.1169941,12867.03501
5.71,-812.5468022,12843.89647
5.72,-811.9618214,12820.82729
5.73,-811.3951228,12797.85835
5.74,-810.8291514,12774.94195
5.75,-810.2659362,12752.14193
5.76,-809.7034503,12729.39417
5.77,-809.1272664,12706.74694
5.78,-808.5682848,12684.16715
5.79,-807.9946211,12661.65567
5.8,-807.4391483,12639.24319
5.81,-806.8844092,12616.88232
5.82,-806.3160487,12594.62112
5.83,-805.7648249,12572.42664
5.84,-805.2153534,12550.3151
5.85,-804.6512899,12528.27102
5.86,-804.104324,12506.29325
5.87,-803.5601302,12484.42959
5.88,-803.0003724,12462.60135
5.89,-802.4586904,12440.87057
5.9,-801.9177504,12419.19026
5.91,-801.3633242,12397.60812
5.92,-800.8259187,12376.09143
5.93,-800.2740393,12354.64109
5.94,-799.7391551,12333.25595
5.95,-799.1908438,12311.96833
5.96,-798.6595028,12290.74561
5.97,-798.1137457,12269.5887
5.98,-797.5849336,12248.49646
5.99,-797.05789,12227.48492
6,-796.5164735,12206.5388
6.01,-795.9919644,12185.65695
6.02,-795.4541304,12164.87149
6.03,-794.9321596,12144.11883
6.04,-794.3968925,12123.46227
6.05,-793.8624069,12102.8544
6.06,-793.3457869,12082.34128
6.07,-792.8138732,12061.86159
6.08,-792.2998009,12041.47637
6.09,-791.7714833,12021.15541
6.1,-791.2599623,12000.89757
6.11,-790.7342239,11980.70377
6.12,-790.2252578,11960.57285
6.13,-789.7021021,11940.50574
6.14,-789.1807562,11920.51724
6.15,-788.6761464,11900.59125
6.16,-788.1573884,11880.72869
6.17,-787.6394211,11860.91351
6.18,-787.139176,11841.19131
6.19,-786.6396975,11821.51627
6.2,-786.1261256,11801.90419
6.21,-785.6143702,11782.3698
6.22,-785.1034091,11762.88226
6.23,-784.5942663,11743.47216
6.24,-784.0859194,11724.1087
6.25,-783.5941894,11704.8066
6.26,-783.1042552,11685.58157
6.27,-782.6003224,11666.41867
6.28,-782.0971882,11647.30202
6.29,-781.5958779,11628.26205
6.3,-781.1111263,11609.28285
6.31,-780.596683,11590.35062
6.32,-780.1145339,11571.49368
6.33,-779.6331625,11552.68248
6.34,-779.1378852,11533.93266
6.35,-778.6444371,11515.25878
6.36,-778.1517936,11496.63035
6.37,-777.6599552,11478.04729
6.38,-777.1699484,11459.53983
6.39,-776.696397,11441.09217
6.4,-776.2090183,11422.70522
6.41,-775.7224475,11404.36326
6.42,-775.2377122,11386.09641
6.43,-774.7537862,11367.87436
6.44,-774.2706703,11349.69701
6.45,-773.7893922,11331.59444
6.46,-773.3089255,11313.5364
6.47,-772.8302986,11295.55289
6.48,-772.3524844,11277.61371
6.49,-771.891013,11259.73329
6.5,-771.4003252,11241.89807
6.51,-770.9414872,11224.1359
6.52,-770.4679472,11206.40324
6.53,-769.9962519,11188.74445
6.54,-769.5253734,11171.12947
6.55,-769.0563415,11153.58812
6.56,-768.6025458,11136.07494
6.57,-768.1207329,11118.63622
6.58,-767.6541574,11101.22553
6.59,-767.1894317,11083.88805
6.6,-766.7255268,11066.59386
6.61,-766.2634736,11049.37266
6.62,-765.8165903,11032.17918
6.63,-765.3418342,11015.05951
6.64,-764.8822492,10997.96743
6.65,-764.424519,10980.94791
6.66,-763.9676136,10963.97118
6.67,-763.5115335,10947.03718
6.68,-763.0573107,10930.17541
6.69,-762.6181817,10913.34088
6.7,-762.1513459,10896.57942
6.71,-761.699605,10879.84506
6.72,-761.2497246,10863.18254
6.73,-760.7854196,10846.54801
6.74,-760.3524522,10829.98408
6.75,-759.9050611,10813.44801
6.76,-759.4443136,10796.96918
6.77,-758.9996292,10780.54646
6.78,-758.5557772,10764.16558
6.79,-758.1137915,10747.85581
6.8,-757.6716058,10731.55838
6.81,-757.231288,10715.33189
6.82,-756.7918049,10699.14693
6.83,-756.3531571,10683.00342
6.84,-755.9012472,10666.91645
6.85,-755.4653174,10650.88487
6.86,-755.0302249,10634.89451
6.87,-754.5959703,10618.94531
6.88,-754.162554,10603.03719
6.89,-753.7159337,10587.18518
6.9,-753.2842068,10571.35904
6.91,-752.8543554,10555.60286
6.92,-752.425345,10539.88747
6.93,-751.997176,10524.2128
6.94,-751.5558605,10508.59381
6.95,-751.1293868,10493.00037
6.96,-750.7047926,10477.47643
6.97,-750.2660496,10461.97895
6.98,-749.8431544,10446.53579
6.99,-749.4211042,10431.13292
7,-748.9998994,10415.77028
7.01,-748.5656277,10400.46276
7.02,-748.1461263,10385.18036
7.03,-747.7285098,10369.96683
7.04,-747.2968222,10354.77935
7.05,-746.8809126,10339.64562
7.06,-746.4658522,10324.5517
7.07,-746.0516414,10309.49751
7.08,-745.6382807,10294.48301
7.09,-745.2119424,10279.52299
7.1,-744.8002942,10264.58764
7.11,-744.3756902,10249.70663
7.12,-743.9519595,10234.86502
7.13,-743.5439286,10220.07655
7.14,-743.1357116,10205.29875
7.15,-742.7293884,10190.58876
