W,E1,E2
523.6,-159.5467203,73.37497137
523.7,-159.4682441,73.33402126
523.8,-159.3898175,73.29311476
523.9,-159.3114405,73.25225201
524,-159.2331132,73.2114331
524.1,-159.1548358,73.17065815
524.2,-159.0766083,73.12992727
524.3,-158.9984308,73.08924057
524.4,-158.9203035,73.04859816
524.5,-158.8422264,73.00800015
524.6,-158.7641995,72.96744654
524.7,-158.6862114,72.92692416
524.8,-158.6082542,72.88642395
524.9,-158.530328,72.84594595
525,-158.4524328,72.8054902
525.1,-158.3745686,72.76505675
525.2,-158.2967355,72.72464563
525.3,-158.2189336,72.6842569
525.4,-158.1411628,72.64389059
525.5,-158.0634231,72.60354674
525.6,-157.9857147,72.56322539
525.7,-157.9080376,72.5229266
525.8,-157.8303918,72.48265039
525.9,-157.7527773,72.44239681
526,-157.6751942,72.40216591
526.1,-157.5976425,72.36195773
526.2,-157.5201223,72.3217723
526.3,-157.4426336,72.28160967
526.4,-157.3651764,72.24146989
526.5,-157.2877508,72.20135299
526.6,-157.2103568,72.16125901
526.7,-157.1329945,72.121188
526.8,-157.0556638,72.08114001
526.9,-156.9783648,72.04111506
527,-156.9010977,72.00111321
527.1,-156.8238623,71.96113449
527.2,-156.7466587,71.92117896
527.3,-156.6694871,71.88124664
527.4,-156.5923473,71.84133759
527.5,-156.5152395,71.80145184
527.6,-156.4381637,71.76158943
527.7,-156.3611199,71.72175042
527.8,-156.2841082,71.68193483
527.9,-156.2071285,71.64214272
528,-156.1301811,71.60237412
528.1,-156.0532658,71.56262908
528.2,-155.9763827,71.52290764
528.3,-155.8995319,71.48320983
528.4,-155.8227133,71.44353571
528.5,-155.7459271,71.40388532
528.6,-155.6691733,71.36425869
528.7,-155.5924519,71.32465587
528.8,-155.5157629,71.2850769
528.9,-155.4391064,71.24552182
529,-155.3624824,71.20599068
529.1,-155.285891,71.16648352
529.2,-155.2093322,71.12700037
529.3,-155.132806,71.08754128
529.4,-155.0563125,71.0481063
529.5,-154.9798517,71.00869546
529.6,-154.9034236,70.96930881
529.7,-154.8270284,70.92994639
529.8,-154.7506659,70.89060824
529.9,-154.6743364,70.8512944
530,-154.5980397,70.81200492
530.1,-154.5217759,70.77273983
530.2,-154.4455452,70.73349919
530.3,-154.3693474,70.69428302
530.4,-154.2931827,70.65509138
530.5,-154.2170511,70.6159243
530.6,-154.1409527,70.57678183
530.7,-154.0648873,70.53766401
530.8,-153.9888552,70.49857089
530.9,-153.9128564,70.45950249
531,-153.8368908,70.42045887
531.1,-153.7609585,70.38144007
531.2,-153.6850596,70.34244612
531.3,-153.6091941,70.30347708
531.4,-153.533362,70.26453298
531.5,-153.4575634,70.22561387
531.6,-153.3817983,70.18671979
531.7,-153.3060668,70.14785077
531.8,-153.2303688,70.10900687
531.9,-153.1547044,70.07018812
532,-153.0790738,70.03139456
532.1,-153.0034768,69.99262625
532.2,-152.9279135,69.95388321
532.3,-152.852384,69.9151655
532.4,-152.7768884,69.87647315
532.5,-152.7014265,69.8378062
532.6,-152.6259986,69.7991647
532.7,-152.5506046,69.7605487
532.8,-152.4752445,69.72195822
532.9,-152.3999185,69.68339332
533,-152.3246265,69.64485403
533.1,-152.2493686,69.60634041
533.2,-152.1741448,69.56785248
533.3,-152.0989551,69.5293903
533.4,-152.0237997,69.49095389
533.5,-151.9486784,69.45254332
533.6,-151.8735914,69.41415861
533.7,-151.7985388,69.37579982
533.8,-151.7235205,69.33746697
533.9,-151.6485365,69.29916012
534,-151.573587,69.26087931
534.1,-151.498672,69.22262458
534.2,-151.4237914,69.18439596
534.3,-151.3489454,69.14619351
534.4,-151.2741339,69.10801726
534.5,-151.199357,69.06986726
534.6,-151.1246148,69.03174355
534.7,-151.0499073,68.99364617
534.8,-150.9752345,68.95557516
534.9,-150.9005965,68.91753057
535,-150.8259932,68.87951243
535.1,-150.7514248,68.84152079
535.2,-150.6768913,68.80355569
535.3,-150.6023927,68.76561718
535.4,-150.527929,68.72770529
535.5,-150.4535004,68.68982006
535.6,-150.3791067,68.65196155
535.7,-150.3047481,68.61412978
535.8,-150.2304247,68.57632481
535.9,-150.1561363,68.53854668
536,-150.0818832,68.50079542
536.1,-150.0076652,68.46307108
536.2,-149.9334825,68.4253737
536.3,-149.8593351,68.38770332
536.4,-149.7852231,68.35005999
536.5,-149.7111464,68.31244375
536.6,-149.6371051,68.27485464
536.7,-149.5630992,68.23729269
536.8,-149.4891289,68.19975796
536.9,-149.415194,68.16225049
537,-149.3412947,68.12477031
