Freq_cm_merged_15K,ep1,ep2
1033.058514,5.230613413,0.421329178
1038.897698,5.288554366,0.404503705
1046.730577,5.325287135,0.400402581
1056.605217,5.373767814,0.409035727
1072.593046,5.398113712,0.425742427
1092.919913,5.443711137,0.434194751
1103.229558,5.484450271,0.455059473
1111.547474,5.514159,0.504560366
1119.923995,5.500364391,0.585101888
1124.130648,5.447457146,0.613583657
1128.351598,5.390173192,0.595992961
1132.591418,5.366198669,0.544394307
1143.276814,5.432575251,0.487165982
1151.897823,5.477739579,0.49952593
1160.583066,5.509292974,0.55419705
1171.520435,5.453099241,0.601871326
1178.13007,5.41153871,0.571647367
1191.477716,5.464078748,0.521376784
1202.718272,5.516922398,0.52925115
1216.345303,5.564365769,0.550984831
1225.518928,5.622626822,0.57132132
1232.447605,5.68863759,0.608657593
1237.090948,5.747862195,0.664640822
1244.088784,5.810926576,0.856364513
1251.106176,5.674312332,1.09883398
1253.442803,5.547936603,1.120692497
1255.787983,5.476574161,1.090735142
1262.858729,5.349415168,0.969236356
1272.385703,5.413472854,1.028327763
1277.153105,5.261344447,1.046583485
1281.942218,5.169142285,0.986707759
1286.749289,5.091181027,0.884947823
1291.582571,5.081514737,0.756813716
1301.327105,5.204126431,0.595817103
1306.233007,5.297130701,0.576068734
1311.154342,5.359355915,0.599103959
1318.565414,5.408649719,0.638343442
1328.50865,5.448000524,0.692236027
1351.144339,5.458033253,0.766458111
1371.590305,5.492499678,0.779965218
1379.344822,5.559563158,0.802455437
1389.751491,5.636601122,0.856590824
1397.627797,5.784607275,1.106364283
1402.870541,5.623223311,1.258097027
1408.133422,5.501624457,1.305220561
1413.41369,5.377568648,1.315249655
1418.709499,5.280683518,1.189261078
1437.512328,5.620873435,1.075458195
1448.171343,6.056360206,1.482692851
1456.492625,6.163976984,2.357109968
1464.867638,5.104056779,3.999596067
1468.974546,3.741473465,4.048813384
1473.056527,2.354222514,3.587410005
1480.975633,2.349779067,1.555096806
1510.923287,4.008949408,0.035184381
1519.551443,4.528412666,0.008895804
1528.230414,4.637562494,0.204797662
1536.955074,4.727675312,0.272042567
1550.126546,4.812236812,0.344626082
1572.314968,4.871468571,0.393182287
1590.295609,4.930722413,0.409535054
1608.480248,4.979469004,0.434826237
1622.254032,5.008744066,0.462474137
1640.798309,5.021763803,0.499764187
1664.271158,5.010260132,0.510098204
1683.295741,5.029929143,0.508327495
1702.537796,5.047823475,0.516753904
1721.999812,5.06464567,0.531216302
1741.683421,5.075014872,0.553892239
1766.600399,5.065838986,0.575783199
1786.789313,5.055618186,0.578021721
1812.353417,5.059694021,0.582010054
1833.065202,5.0515698,0.573842143
1848.759359,5.071150398,0.573605404
1869.890971,5.078583089,0.585321529
1891.26603,5.091823109,0.616066985
1907.449818,5.063683024,0.632613929
1923.772092,5.042369707,0.61803927
1951.298019,5.059573654,0.606172595
1979.215796,5.063770349,0.609465389
2007.535029,5.077565135,0.613751818
2018.979728,5.094113314,0.650538253
2030.472246,5.035741651,0.647910541
2047.857576,5.065412816,0.624620457
2065.389678,5.07533264,0.646425328
2083.064515,5.053211042,0.657281074
2106.868953,5.040299057,0.649371343
2130.948647,5.041360354,0.644670413
2155.302463,5.03764252,0.639411851
2173.751129,5.04158737,0.621513802
2179.939011,5.057026765,0.618000518
2186.144509,5.068769614,0.631648553
2211.126905,5.049838335,0.650490453
2236.399306,5.05446488,0.651713205
2268.396109,5.056409546,0.66462508
2294.319602,5.045477376,0.669364327
2320.540523,5.041995171,0.663233034
2347.065854,5.054476502,0.672875302
2373.887195,5.038659851,0.677420829
2407.849861,5.039831843,0.672448425
2449.24829,5.044636475,0.672878916
2484.290384,5.049095817,0.674790913
2527.004339,5.057581067,0.680486831
2570.452702,5.064842266,0.691309137
2614.646779,5.067075,0.7024204
2659.60069,5.069757094,0.711572952
2713.025847,5.075178237,0.729396467
2751.837714,5.065066223,0.730216203
2775.395324,5.073844662,0.734610482
2815.098012,5.062370808,0.72130768
2839.202907,5.093291795,0.716402764
2855.387397,5.10924967,0.731987306
2888.022011,5.107441927,0.739095648
2904.48772,5.135595986,0.745949398
2921.050256,5.156262905,0.818555181
2929.347682,5.109027427,0.825566768
2962.826102,5.106797247,0.815760757
2979.704758,5.090458635,0.820396844
2996.676543,5.072030737,0.797183944
3022.33777,5.11064984,0.783727907
3039.564661,5.122979388,0.793567205
3074.31047,5.137403925,0.813964484
3118.298656,5.146885803,0.83381199
3144.99501,5.15871858,0.845305807
3180.947618,5.17702464,0.869247098
3226.466488,5.194641356,0.911856672
3272.633422,5.199078906,0.962164466
3347.871042,5.183726734,1.037255886
3405.429639,5.164039274,1.091001072
3463.974321,5.135290725,1.138394259
3523.525477,5.106193166,1.184238396
